car_name,carisyou_url,aws_url,브랜드,국산/수입,가격,연비,연료,차급,외형,등급명,판매여부,출시일,단종일,승차정원,최고속도,배기량,엔진형식,구동방식,연비등급,price_int,price_int_low,price_int_high,displacement_int,fuel_efficiency_int,fuel_efficiency_int_low,fuel_efficiency_int_high
2001 벤츠 C클래스(2세대),http://file.carisyou.com/newcar/color/133_benz_c-class2001_100.jpg,https://whatcar.s3.ap-northeast-2.amazonaws.com/photo/1.jpg,벤츠,수입,-만원,-,가솔린,준중형,세단,C200K,단종,2001-06-01,2002-07-01,5명,227km/h,"1,796cc",L6,FR,0등급,-,9999999999,9999999999,1796,-,0.0,0.0
2002 벤츠 CL클래스(2세대),http://file.carisyou.com/newcar/color/138_benz_cl-class2002_100.jpg,https://whatcar.s3.ap-northeast-2.amazonaws.com/photo/2.jpg,벤츠,수입,-만원,6.5km/ℓ,가솔린,대형,쿠페,CL500,단종,2002-01-01,2003-01-01,4명,0km/h,"4,966cc",V8기통DOHC,FR,5등급,-,9999999999,9999999999,4966,6.5,6.5,6.5
2002 벤츠 CLK클래스(2세대),http://file.carisyou.com/newcar/color/142_benz_clk-class2002_0.jpg,https://whatcar.s3.ap-northeast-2.amazonaws.com/photo/3.jpg,벤츠,수입,-만원,8.2km/ℓ,가솔린,준중형,쿠페,CLK240쿠페,단종,2002-01-01,2003-01-01,4명,0km/h,"2,597cc",-,FR,0등급,-,9999999999,9999999999,2597,8.2,8.2,8.2
2002 벤츠 E클래스(2세대),http://file.carisyou.com/newcar/color/155_benz_e-class2002_0.jpg,https://whatcar.s3.ap-northeast-2.amazonaws.com/photo/4.jpg,벤츠,수입,-만원,8.4km/ℓ,가솔린,중형,세단,E230,단종,2002-01-01,2003-01-01,5명,0km/h,"2,300cc",-,FR,0등급,-,9999999999,9999999999,2300,8.4,8.4,8.4
2001 벤츠 G클래스(1세대),http://file.carisyou.com/newcar/color/156_benz_g-class2001_0.jpg,https://whatcar.s3.ap-northeast-2.amazonaws.com/photo/5.jpg,벤츠,수입,-만원,4.9km/ℓ,가솔린,중형,SUV,G500,단종,2001-01-01,2002-01-01,5명,0km/h,"4,966cc",-,4WD,0등급,-,9999999999,9999999999,4966,4.9,4.9,4.9
2002 벤츠 M클래스(1세대),http://file.carisyou.com/newcar/color/160_benz_m-class2002_0.jpg,https://whatcar.s3.ap-northeast-2.amazonaws.com/photo/6.jpg,벤츠,수입,-만원,5.7~6.1km/ℓ,가솔린,중형,SUV,ML320,단종,2002-01-01,2003-01-01,7명,0km/h,"3,199cc",-,4WD,0등급,-,9999999999,9999999999,3199,"5.7, 6.1",5.7,6.1
2000 벤츠 S클래스(4세대),,,벤츠,수입,"1억2,870~1억7,490만원",6.5~7.7km/ℓ,가솔린,대형,세단,S320LWB세단,단종,2000-01-01,2001-01-01,5명,238km/h,"3,199cc",V6,FR,5등급,"128700000, 174900000",128700000,174900000,3199,"6.5, 7.7",6.5,7.7
2001 벤츠 S클래스(4세대),http://file.carisyou.com/newcar/color/168_benz_s-class2001_0.jpg,https://whatcar.s3.ap-northeast-2.amazonaws.com/photo/8.jpg,벤츠,수입,-만원,7.0km/ℓ,가솔린,대형,세단,S320LWB세단,단종,2001-01-01,2002-01-01,5명,0km/h,"3,199cc",-,FR,0등급,-,9999999999,9999999999,3199,7.0,7.0,7.0
1999 BMW 3시리즈(4세대),,,BMW,수입,"4,620~5,390만원",9.4~10.9km/ℓ,가솔린,준중형,세단,318i세단,단종,1999-01-01,2000-01-01,5명,202km/h,"1,895cc",직렬4기통SOHC,FR,3등급,"46200000, 53900000",46200000,53900000,1895,"9.4, 10.9",9.4,10.9
2001 BMW 3시리즈(4세대),http://file.carisyou.com/newcar/color/223_bmw_3series2001_0.jpg,https://whatcar.s3.ap-northeast-2.amazonaws.com/photo/10.jpg,BMW,수입,-만원,8.2km/ℓ,가솔린,준중형,세단,318i세단,단종,2001-01-01,2002-01-01,5명,214km/h,"1,800cc",직렬4기통DOHC,FR,5등급,-,9999999999,9999999999,1800,8.2,8.2,8.2
